wave,varname,source
2001,WHY MOVED 1ST,ER17091
2003,WHY MOVED 1ST,ER21120
2005,WHY MOVED 1ST,ER25101
2007,WHY MOVED 1ST,ER36106
2009,WHY MOVED 1ST,ER42135
2011,WHY MOVED 1ST,ER47443
2013,WHY MOVED 1ST,ER53143
2015,WHY MOVED 1ST,ER60158
2017,WHY MOVED 1ST,ER66159
2019,WHY MOVED 1ST,ER72159
2021,WHY MOVED 1ST,ER78161
2001,WHY MOVED 2ND,ER17092
2003,WHY MOVED 2ND,
2005,WHY MOVED 2ND,
2007,WHY MOVED 2ND,
2009,WHY MOVED 2ND,
2011,WHY MOVED 2ND,ER47444
2013,WHY MOVED 2ND,ER53144
2015,WHY MOVED 2ND,ER60159
2017,WHY MOVED 2ND,ER66160
2019,WHY MOVED 2ND,ER72160
2021,WHY MOVED 2ND,ER78162
2001,WHY MOVED 3RD,ER17093
2003,WHY MOVED 3RD,
2005,WHY MOVED 3RD,
2007,WHY MOVED 3RD,
2009,WHY MOVED 3RD,ER42137
2011,WHY MOVED 3RD,ER47445
2013,WHY MOVED 3RD,ER53145
2015,WHY MOVED 3RD,ER60160
2017,WHY MOVED 3RD,ER66161
2019,WHY MOVED 3RD,ER72161
2021,WHY MOVED 3RD,ER78163
2001,WHY MOVED 4TH,ER17094
2003,,
2005,,
2007,,
2009,,
2011,,
2013,,
2015,,
2017,,
2019,,
2021,,
