wave,varname,source
2001,WTR DONATION>25 TO CHARITY,ER20045
2003,WTR DONATION>25 TO CHARITY,ER23481
2005,WTR DONATION>25 TO CHARITY,ER27449
2007,WTR DONATION>25 TO CHARITY,ER40620
2009,WTR DONATION>25 TO CHARITY,ER46598
2011,WTR DONATION>25 TO CHARITY,ER51959
2013,WTR DONATION>25 TO CHARITY,ER57728
2015,WTR DONATION>25 TO CHARITY,ER64908
2017,WTR DONATION>25 TO CHARITY,ER71040
2019,WTR DONATION>25 TO CHARITY,ER77062
2001,WTR DONATED TO RELIGIOUS ORGANIZATION,ER20046
2003,WTR DONATED TO RELIGIOUS ORGANIZATION,ER23482
2005,WTR DONATED TO RELIGIOUS ORGANIZATION,ER27450
2007,WTR DONATED TO RELIGIOUS ORGANIZATION,ER40621
2009,WTR DONATED TO RELIGIOUS ORGANIZATION,ER46599
2011,WTR DONATED TO RELIGIOUS ORGANIZATION,ER51960
2013,WTR DONATED TO RELIGIOUS ORGANIZATION,ER57729
2015,WTR DONATED TO RELIGIOUS ORGANIZATION,ER64909
2017,WTR DONATED TO RELIGIOUS ORGANIZATION,ER71041
2019,WTR DONATED TO RELIGIOUS ORGANIZATION,ER77063
2021,WTR DONATED TO RELIGIOUS ORGANIZATION,ER81339
2001,DOLLAR AMT OF RELIGIOUS DONATIONS,ER20047
2003,DOLLAR AMT OF RELIGIOUS DONATIONS,ER23483
2005,DOLLAR AMT OF RELIGIOUS DONATIONS,ER27451
2007,DOLLAR AMT OF RELIGIOUS DONATIONS,ER40622
2009,DOLLAR AMT OF RELIGIOUS DONATIONS,ER46600
2011,DOLLAR AMT OF RELIGIOUS DONATIONS,ER51961
2013,DOLLAR AMT OF RELIGIOUS DONATIONS,ER57730
2015,DOLLAR AMT OF RELIGIOUS DONATIONS,ER64910
2017,DOLLAR AMT OF RELIGIOUS DONATIONS,ER71042
2019,DOLLAR AMT OF RELIGIOUS DONATIONS,ER77064
2021,DOLLAR AMT OF RELIGIOUS DONATIONS,ER81340
2001,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER20053
2003,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER23489
2005,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER27457
2007,WTR DONATD TO COMBO PURPOSE ORGANIZTN,ER40628
